@@@0001	sound	cmpci	CMD8338	C3D Audio	HAS_OPL3|HAS_DMA16
@H@0001	unknown	unknown	CMD8338	C3D Audio OPL3	unknown
@P@0001	unknown	unknown	CMD8338	C3D Audio	unknown
@X@0001	unknown	unknown	CMD8338	C3D Audio	unknown
@@@1001	sound	sb	Advance Logic	ALS-110	HAS_DMA16|HAS_OPL3
@P@1001	unknown	unknown	Advance Logic	ALS-110 Sound chip	unknown
@X@1001	unknown	unknown	Advance Logic	ALS-110 OPL3	unknown	
@@@9519	ethernet	ne	unknown	NE2000 plug&play ethernet card
0Z08047	modem	unknown	Zoom	56K/V90	unknown
ABP0174	scsi	ignore	AdvanSys	ABP742 SCSI Controller	unknown
ABP0175	scsi	ignore	AdvanSys	ABP752 Dual-Channel SCSI Controller	unknown
ABP5140	scsi	advansys	AdvanSys	ABP5140 SCSI Controller	unknown	
ABP5401	scsi	ignore	AdvanSys	PnP ISA SCSI Host	unknown
ABP7401	scsi	ignore	AdvanSys	EISA SCSI Host	unknown
ABP7501	scsi	ignore	AdvanSys	EISA SCSI Host	unknown
ACC1660	unknown	unknown	Accton	EN166x	unknown
ACU0101	unknown	unknown	Acculogic	EISApport SCSI	unknown
ADI0730	unknown	unknown	ADI	MicroScan 4V	unknown
ADI0C50	unknown	unknown	ADI	MicroScan 5V+ TCO	unknown
ADP0000	scsi	ignore	Adaptec	AHA-1740 SCSI Host Adapter (Early Revision)	unknown
ADP0001	scsi	ignore	Adaptec	AHA-1740A/1742A SCSI Host Adapter (without floppy)	unknown
ADP0002	scsi	ignore	Adaptec	AHA-1742A SCSI Host Adapter (with floppy)	unknown
ADP0100	scsi	ignore	Adaptec	AHA-1540/1542 ISA SCSI Host Adapter	unknown
ADP0400	scsi	ignore	Adaptec	AHA-1744 Differential SCSI Host Adapter	unknown
ADP1502	scsi	ignore	Adaptec	AVA-1502 SCSI Host	unknown
ADP1505	scsi	ignore	Adaptec	AVA-1505 SCSI Host	unknown
ADP1510	scsi	ignore	Adaptec	AHA-1510 SCSI Host	unknown
ADP1515	scsi	ignore	Adaptec	AVA-1515 SCSI Host	unknown
ADP1520	scsi	ignore	Adaptec	AHA-152X/AHA-1510 SCSI Host	unknown
ADP1522	scsi	ignore	Adaptec	AIC-6X60 PnP SCSI Host	unknown
ADP1530	scsi	ignore	Adaptec	AVA-1505AE
ADP1532	scsi	ignore	Adaptec	AIC-6X60 P&P SCSI Host	unknown
ADP1540	scsi	ignore	Adaptec	AHA-154X/AHA-164X/AHA-1535 SCSI Host	unknown
ADP1542	scsi	ignore	Adaptec	AHA-154X/AHA-1535 PnP SCSI Host	unknown
ADP1740	scsi	ignore	Adaptec	AHA-174X EISA SCSI Host	unknown
ADP2015	scsi	ignore	Adaptec	AHA-152X/AHA-1510 SCSI Host	unknown
ADP2215	scsi	ignore	Adaptec	AIC-6X60 P&P SCSI Host	unknown
ADP2840	scsi	ignore	Adaptec	AHA-284X VESA SCSI Host	unknown
ADP3015	scsi	ignore	Adaptec	AIC-6X60 P&P SCSI Host	unknown
ADP3215	scsi	ignore	Adaptec	AIC-6X60 P&P SCSI Host	unknown
ADP6360	scsi	ignore	Adaptec	AIC-6X60 ISA Single-Chip SCSI	unknown
ADP7770	scsi	ignore	Adaptec	AIC-777X EISA SCSI Host	unknown
ADP7771	scsi	ignore	Adaptec	AIC-7770 (AHA-274X) EISA SCSI Host	unknown
ADP7880	scsi	ignore	Adaptec	AIC-7880 SCSI Host	unknown
ADS7180	sound	ad1816	Terratec	Soundsystem BASE 1	HAS_DMA16
ADS7181	sound	mpu401	Terratec	Soundsystem BASE 1/MIDI	HAS_MPU401
ADS7182	joystick	unknown	Terratec	Soundsystem BASE 1/Gameport	HAS_JOYSTICK
ADV55AA	ethernet	ignore	AMD	PCNET Family Ethernet/ISA+	unknown
AEI0218	unknown	unknown	Actiontec	PCMCIA Adapter	unknown
ALI1489	ide	unknown	ALI	EIDE Controller	unknown
ALS0001	sound	sb	Advance Logic	ALS-001	unknown
ALS0007	sound	sb	Advance Logic	ALS-001	HAS_DMA16
ALS0100	sound	sb	Advance Logic	ALS-100	HAS_DMA16
ALS0120	sound	sb	Advance Logic	ALS-120	HAS_DMA16
